# Program:featureCounts v2.0.8; Command:"featureCounts" "-t" "exon" "-g" "gene_id" "-s" "2" "-p" "-T" "1" "-a" "raw_data/references/GCF_000002985.6_WBcel235_clean.gtf" "-o" "results/expression/featurecounts/Neg_1_2_gene_counts.tsv" "results/alignment/star/Neg_1_2_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/alignment/star/Neg_1_2_Aligned.sortedByCoord.out.bam
CELE_F22B5.10	NC_003280.10;NC_003280.10	8467174;8467634	8467563;8468010	+;+	767	2614
CELE_M05D6.2	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8468109;8468463;8468610;8468730;8468927;8469497;8469830	8468415;8468565;8468682;8468880;8469442;8469775;8470162	+;+;+;+;+;+;+	1762	3628
CELE_M05D6.8	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8470076;8470324;8470364;8470764;8470764;8471052;8471052	8470268;8470455;8470455;8470933;8470933;8471239;8471217	-;-;-;-;-;-;-	683	0
CELE_M05D6.10	NC_003280.10;NC_003280.10;NC_003280.10	8471880;8472701;8473390	8472538;8473241;8473522	-;-;-	1333	0
CELE_M05D6.1	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8473819;8474175;8474339;8474517;8474786;8475006;8475146;8475321	8474130;8474296;8474473;8474741;8474957;8475100;8475272;8475406	-;-;-;-;-;-;-;-	1274	5
CELE_M05D6.3	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8475772;8476483;8476888;8477504;8477797	8476051;8476675;8477321;8477745;8477961	+;+;+;+;+	1314	6
CELE_M05D6.4	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8477949;8478254;8478606;8479350;8480322	8478207;8478490;8478805;8479870;8480478	-;-;-;-;-	1374	496
CELE_M05D6.5	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8480487;8480759;8481828;8481828;8482054;8482054	8480900;8480900;8481976;8481976;8482170;8482203	-;-;-;-;-;-	713	522
CELE_M05D6.6	NC_003280.10;NC_003280.10;NC_003280.10	8482376;8482888;8483148	8482762;8483099;8483269	-;-;-	721	1132
CELE_M05D6.7	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8485879;8486104;8486502;8486717;8487054;8487209	8486046;8486425;8486673;8486932;8487163;8487571	+;+;+;+;+;+	1351	536
CELE_T13H5.1	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8487513;8487513;8487570;8487574;8487947;8487947;8487947;8487947;8487947;8488126;8488126;8488126;8488126;8488126;8488126;8488126;8488126;8488126;8488336;8488336;8488336;8488336;8488336;8488336;8488336;8488336;8488336;8488520;8488520;8488520;8488520;8488520;8488520;8488520;8488520;8488520;8488801;8488801;8488801;8488801;8488801;8488801;8488801;8488801;8488801;8489672;8490741;8490741;8490741;8490741;8490741;8490741;8490741;8490741;8491163;8491163;8491163;8491163;8491163;8491163;8491163;8491163;8491369;8491369;8491369;8491369;8491369;8491369;8491369;8491369;8491489;8491489;8491489;8491489;8491489;8491489;8491489;8491489;8492093;8492093;8492093;8492093;8492093;8492093;8492093;8492093;8492459;8492459;8492459;8492459;8492459;8492459;8492459;8492459;8495721;8495721;8495721;8495721;8495721;8495721;8495721;8495721;8496050;8496050;8496050;8496050;8496050;8496050;8496050;8496050;8496889;8496889;8496889;8496889;8496889;8496889;8496889;8496889;8497055;8497055;8497055;8497055;8497055;8497055;8497055;8497055;8497520;8497520;8497520;8497520;8497520;8497520;8497520;8497520;8498561;8499662;8501366;8505261;8506486;8506486;8506486;8506486;8506486;8506577;8506577;8506577;8506577;8506577;8507056;8507056;8507056;8507056;8507209;8507209;8507209;8507375;8507375;8507375;8508768;8508768;8508959;8508959	8488027;8488027;8488027;8488027;8488027;8488027;8488027;8488027;8488027;8488284;8488284;8488284;8488284;8488284;8488284;8488284;8488284;8488284;8488471;8488471;8488471;8488471;8488471;8488471;8488471;8488471;8488471;8488653;8488653;8488653;8488653;8488653;8488653;8488653;8488653;8488653;8488878;8488884;8488884;8488884;8488884;8488884;8488884;8488884;8488884;8489728;8490860;8490860;8490860;8490860;8490860;8490860;8490860;8490860;8491300;8491300;8491300;8491300;8491300;8491300;8491300;8491300;8491442;8491442;8491442;8491442;8491442;8491442;8491442;8491442;8491588;8491588;8491588;8491588;8491588;8491588;8491588;8491588;8492209;8492209;8492209;8492209;8492209;8492209;8492209;8492209;8492630;8492630;8492630;8492630;8492630;8492630;8492630;8492630;8496001;8496001;8496001;8496001;8496001;8496001;8496001;8496001;8496187;8496187;8496187;8496187;8496187;8496187;8496187;8496187;8496978;8496978;8496978;8496978;8496978;8496978;8496978;8496978;8497132;8497132;8497132;8497132;8497132;8497132;8497132;8497132;8497635;8497635;8497635;8497635;8497635;8497635;8497635;8497635;8499080;8499761;8501732;8505527;8506532;8506532;8506532;8506532;8506532;8506602;8506650;8506650;8506650;8506650;8507069;8507115;8507115;8507115;8507328;8507328;8507328;8507461;8507487;8507487;8508866;8508866;8509055;8509056	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4374	501
CELE_M05D6.11	NC_003280.10	8492534	8492554	+	21	0
CELE_M05D6.9	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8494271;8494278;8494401;8494401;8494676;8494676;8494819;8494819;8495049;8495049;8495324;8495324;8495505;8495511	8494352;8494352;8494511;8494511;8494770;8494770;8494983;8494983;8495164;8495164;8495438;8495438;8495711;8495713	+;+;+;+;+;+;+;+;+;+;+;+;+;+	893	12
CELE_T13H5.2	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8515054;8515090;8515350;8515350;8515861;8515861;8516037;8516037;8516342;8516342	8515240;8515240;8515635;8515635;8515987;8515987;8516293;8516293;8516711;8516922	+;+;+;+;+;+;+;+;+;+	1438	212
CELE_T13H5.7	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8517150;8517308;8517665;8517939	8517246;8517615;8517893;8518407	+;+;+;+	1103	1608
CELE_T13H5.8	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8518510;8518685;8518871;8519244;8519672;8520154;8520277	8518641;8518822;8519199;8519630;8520104;8520230;8520696	+;+;+;+;+;+;+	1916	1999
CELE_T13H5.3	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8520923;8521287;8521419;8521585;8521724;8522150;8522271;8522861;8523268	8520987;8521378;8521526;8521682;8522098;8522219;8522819;8523221;8523490	+;+;+;+;+;+;+;+;+	1941	28
CELE_T13H5.4	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8523494;8523891;8524136;8524449;8525043;8525251	8523845;8524076;8524397;8524975;8525201;8525396	-;-;-;-;-;-	1632	3433
CELE_T13H5.5	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8525681;8525868;8526061;8526163;8526305	8525787;8525961;8526119;8526243;8526807	+;+;+;+;+	844	1436
CELE_T13H5.6	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8526799;8527472;8527796;8528320;8531055	8527392;8527594;8528264;8528552;8531222	-;-;-;-;-	1587	382
CELE_VW01C9.1	NC_003280.10	8532636	8532656	-	21	0
CELE_W01C9.1	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8533092;8533093;8533681;8533681;8533853;8533853;8534031;8534055	8533404;8533404;8533809;8533809;8533963;8533963;8534406;8534241	-;-;-;-;-;-;-;-	929	24
CELE_W01C9.7	NC_003280.10	8534664	8534684	-	21	0
CELE_W01C9.2	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8536360;8536494;8536640;8536808;8537026;8537387;8537588;8538423	8536447;8536595;8536749;8536879;8537340;8537515;8538378;8538652	+;+;+;+;+;+;+;+	1837	209
CELE_W01C9.8	NC_003280.10	8540658	8540678	+	21	0
CELE_W01C9.3	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8540715;8540720;8541609;8541609;8541662;8541662;8541762;8541762;8541762;8541762;8541901;8541901;8541901;8541901;8542077;8542077;8542259;8542259;8542259;8542259;8542742;8542742;8542742;8542742;8543051;8543051;8543051;8543051;8543372;8543372;8543372;8543372;8543549;8543549;8543549;8543549;8544291;8544291;8544291;8544291;8544382;8544382;8544382;8544382;8544528;8544528;8544528;8544528;8544694;8544694;8544694;8544694;8544959;8544959;8544959;8544959;8545127;8545127;8545127;8545127	8540783;8540783;8541683;8541683;8541683;8541683;8541841;8541841;8541841;8541841;8542005;8542005;8542005;8542005;8542175;8542175;8542500;8542500;8542500;8542500;8543006;8543006;8543006;8543006;8543254;8543254;8543254;8543254;8543453;8543453;8543453;8543453;8544243;8544243;8544243;8544243;8544337;8544337;8544337;8544337;8544480;8544480;8544480;8544480;8544641;8544641;8544641;8544641;8544907;8544907;8544907;8544907;8545068;8545068;8545068;8545068;8545151;8545151;8545381;8545393	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2767	412
CELE_W01C9.4	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8545615;8545824;8546093;8546292;8546673	8545775;8546050;8546249;8546627;8546888	+;+;+;+;+	1097	8
CELE_W01C9.6	NC_003280.10	8547209	8547338	+	130	0
CELE_W01C9.5	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8547337;8547338;8547338;8547719;8547719;8547719;8548044;8548044;8548044;8548467;8548467;8548467;8552931;8552931;8556176	8547661;8547661;8547661;8547996;8547996;8547996;8548187;8548187;8548187;8548633;8548633;8548630;8553033;8553035;8556266	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1110	22
CELE_F54C9.1	NC_003280.10;NC_003280.10;NC_003280.10	8559581;8560088;8560827	8560011;8560240;8560964	-;-;-	722	3896
CELE_F54C9.12	NC_003280.10	8560691	8560772	-	82	0
CELE_F54C9.14	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8562302;8562596;8563296;8563575	8562523;8562838;8563529;8563759	+;+;+;+	884	14
CELE_F54C9.2	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8563713;8564609;8564782;8565193;8565593;8565773;8565909;8566080	8564175;8564698;8565148;8565541;8565719;8565857;8566022;8566139	-;-;-;-;-;-;-;-	1655	2192
CELE_F54C9.3	NC_003280.10	8566611	8566856	-	246	1308
CELE_F54C9.13	NC_003280.10	8567967	8567987	+	21	0
CELE_F54C9.4	NC_003280.10;NC_003280.10	8568035;8568932	8568803;8569088	-;-	926	500
CELE_F54C9.15	NC_003280.10	8569141	8569289	+	149	0
CELE_F54C9.17	NC_003280.10	8569279	8569562	-	284	0
CELE_F54C9.16	NC_003280.10	8569431	8569572	+	142	0
CELE_F54C9.5	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8569927;8570174;8570402;8570789	8570121;8570356;8570740;8570986	+;+;+;+	915	39342
CELE_F54C9.6	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8571085;8571367;8572204;8572640	8571322;8571993;8572498;8572902	+;+;+;+	1423	1632
CELE_F54C9.7	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8573344;8573863;8574106;8574369;8574638;8574862	8573501;8574057;8574275;8574592;8574792;8575066	+;+;+;+;+;+	1107	25
CELE_F54C9.8	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8575541;8575726;8576409;8576702;8577152	8575682;8576363;8576654;8577108;8577787	+;+;+;+;+	2069	29395
CELE_F54C9.9	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8578049;8578190;8578287;8579145;8579276;8579587;8579798;8580191;8580460;8581024;8581287	8578139;8578241;8578569;8579231;8579539;8579701;8580139;8580404;8580971;8581185;8581513	+;+;+;+;+;+;+;+;+;+;+	2349	2621
CELE_F54C9.10	NC_003280.10;NC_003280.10;NC_003280.10	8582000;8582167;8582409	8582120;8582349;8583080	+;+;+	976	1484
CELE_F54C9.11	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8583034;8583552;8584391;8584980	8583272;8584211;8584595;8585086	-;-;-;-	1211	168
CELE_F28C6.1	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8590984;8591486;8592104;8592421	8591430;8592054;8592364;8593012	+;+;+;+	1869	345
CELE_F28C6.2	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8594190;8594643;8595275;8595593	8594597;8595226;8595535;8596291	+;+;+;+	1952	1544
CELE_F28C6.4	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8596275;8596286;8596536;8596536;8596712;8596712;8597118;8597118;8597288;8597288;8597492;8597492;8597732;8597732;8597950;8597950;8599030;8599030;8599196;8599196;8599931	8596483;8596483;8596655;8596669;8596934;8596934;8597240;8597240;8597445;8597445;8597680;8597680;8597901;8597901;8598864;8598864;8599144;8599144;8599317;8599317;8600265	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2693	1125
CELE_F28C6.5	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8599514;8599749;8599958;8600295	8599702;8599902;8600247;8600530	+;+;+;+	869	42
CELE_F28C6.3	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8600449;8600924;8601581;8601755;8602131;8602361	8600727;8601380;8601703;8602051;8602296;8602440	-;-;-;-;-;-	1402	2390
CELE_F28C6.7	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8602787;8602787;8603115;8603115;8603425	8602941;8602941;8603526;8603271;8603581	+;+;+;+;+	622	15869
CELE_F28C6.11	NC_003280.10	8602971	8603103	+	133	0
CELE_F28C6.6	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8603846;8604005;8604149;8604228;8604473;8605039;8605558;8605863;8606255;8606399	8603953;8604100;8604181;8604427;8604990;8605507;8605768;8606205;8606352;8606744	+;+;+;+;+;+;+;+;+;+	2422	3642
CELE_F28C6.8	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8606849;8606966;8607449;8607449	8607223;8607223;8607734;8607749	+;+;+;+	676	1069
CELE_F28C6.10	NC_003280.10;NC_003280.10;NC_003280.10	8607889;8608354;8608640	8608063;8608590;8608865	+;+;+	638	26
CELE_F28C6.9	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8608789;8608955;8609091;8609376;8609677;8609867;8609998	8608914;8609041;8609328;8609630;8609818;8609955;8610185	-;-;-;-;-;-;-	1125	2
CELE_F28C6.12	NC_003280.10	8608905	8608925	+	21	0
CELE_T22C8.1	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8612770;8612920;8613186;8613331;8613684;8614003;8614139;8614326	8612874;8613093;8613281;8613630;8613854;8614088;8614278;8614426	+;+;+;+;+;+;+;+	1173	2
CELE_T22C8.2	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8614546;8615023;8615294;8615478;8616064;8616440;8616717;8616884;8617158;8617472	8614867;8615243;8615410;8615577;8616314;8616580;8616832;8617008;8617244;8617616	-;-;-;-;-;-;-;-;-;-	1625	246
CELE_T22C8.3	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8620385;8620660;8620931;8621400;8621830	8620611;8620851;8621142;8621744;8621983	-;-;-;-;-	1130	188
CELE_T22C8.4	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8622447;8622656;8622904;8623219	8622605;8622844;8623115;8623496	-;-;-;-	838	74
CELE_T22C8.5	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8625459;8626894;8627077;8627399	8625924;8626992;8627187;8627622	+;+;+;+	900	16
CELE_T22C8.6	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8627570;8628198;8628377;8628631;8628918;8629476;8630016	8628147;8628261;8628519;8628834;8629012;8629598;8630281	-;-;-;-;-;-;-	1473	92
CELE_T22C8.7	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8630693;8630783;8630783;8630927;8630927;8630927;8631590;8631590;8632318;8632318;8632613;8632613;8632823;8632823;8633184;8633184;8633374;8633374;8633781;8634207	8630884;8630884;8630884;8631199;8631231;8631231;8631815;8631815;8632572;8632572;8632778;8632778;8633041;8633041;8633326;8633326;8633421;8633470;8633869;8634486	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1972	38
CELE_T22C8.9	NC_003280.10	8631949	8632040	+	92	0
CELE_T22C8.T1	NC_003280.10	8631957	8632040	-	84	0
CELE_T22C8.8	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8636233;8637010;8637239;8637616	8636720;8637159;8637434;8637711	-;-;-;-	930	264
CELE_T22C8.10	NC_003280.10	8637943	8638084	+	142	0
CELE_D2085.7	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8641381;8641950;8645027;8647147;8647147;8647288;8647288;8647490;8647490;8648027;8648027	8641447;8644766;8645126;8647241;8647241;8647420;8647420;8647679;8647679;8648232;8648143	+;+;+;+;+;+;+;+;+;+;+	3608	56
CELE_D2085.1	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8651109;8651265;8651662;8652182;8652517;8652950;8653537;8654231;8655700;8656448;8656940;8657203;8657977	8651218;8651596;8652062;8652472;8652898;8653480;8654162;8655651;8656394;8656894;8657155;8657931;8658725	+;+;+;+;+;+;+;+;+;+;+;+;+	6930	5169
CELE_D2085.2	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8659135;8659281;8659456;8659702	8659232;8659410;8659654;8659800	+;+;+;+	526	80
CELE_D2085.6	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8659782;8660081;8660324;8660691;8661173;8661344;8661557	8660031;8660264;8660639;8661056;8661295;8661500;8661712	-;-;-;-;-;-;-	1552	935
CELE_D2085.3	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8661869;8662124;8662326;8662473;8663038;8663161;8663410	8662004;8662251;8662429;8662911;8663113;8663249;8664775	+;+;+;+;+;+;+	2338	1562
CELE_D2085.4	NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10;NC_003280.10	8664833;8665154;8665425;8665662;8665842;8666233;8666379;8666721;8666958;8667464;8667780;8668054;8668509;8668805;8668924	8665093;8665371;8665611;8665795;8666182;8666332;8666667;8666902;8667280;8667729;8667983;8668152;8668756;8668877;8669154	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3156	3009
